Country,Civilians killed
Afghanistan,9594
Albania,15
Algeria,2896
Angola,909
Argentina,0
Armenia,2
Asian,171
Australia,19
Austria,1
Azerbaijan,7
Bahamas,0
Bahrain,3
Bangladesh,278
Belarus,13
Belgium,5
Benin,0
Bermuda,0
Bhutan,14
Bolivia,0
Bosnia-Herzegovina,4
Brazil,6
Brunei,7
Bulgaria,5
Burundi,499
Cambodia,16
Cameroon,43
Canada,67
Central African Republic,131
Chad,411
Chile,0
China,471
Colombia,1958
Corsica,0
Costa Rica,1
Croatia,0
Cuba,1
Cyprus,0
Czech Republic,0
Democratic Republic of the Congo,1871
Denmark,12
Djibouti,0
East Timor,8
Ecuador,1
Egypt,116
Equatorial Guinea,1
Eritrea,40
Estonia,7
Ethiopia,405
Fiji,0
Finland,9
France,82
Georgia,44
Germany,42
Ghana,1
Great Britain,201
Greece,4
Guatemala,35
Guinea,0
Guinea-Bissau,16
Guyana,33
Haiti,13
Honduras,32
Hong Kong,0
Hungary,9
Iceland,16
India,6976
Indonesia,382
International,1632
Iran,526
Iraq,27946
Ireland,8
Israel,1236
Italy,93
Ivory Coast,156
Jamaica,0
Japan,49
Jordan,68
Kazakhstan,17
Kenya,388
Kosovo,3
Kuwait,1
Kyrgyzstan,2
Laos,10
Latvia,0
Lebanon,229
Lesotho,0
Liberia,18
Libya,29
Lithuania,0
Luxembourg,0
Macedonia,47
Madagascar,2
Malawi,1
Malaysia,11
Maldives,0
Mali,159
Mauritania,37
Mexico,89
Moldova,2
Mongolia,0
Montenegro,1
Morocco,16
Mozambique,7
Multinational,839
Myanmar,157
Namibia,2
Nepal,1814
Netherlands,13
New Zealand,1
Niger,96
Nigeria,2778
Northern Ireland,17
Norway,79
Oman,2
Pakistan,10965
Papua New Guinea,0
Paraguay,3
Peru,99
Philippines,1813
Poland,11
Portugal,0
Republic of the Congo,34
Romania,2
Russia,2739
Rwanda,67
Saudi Arabia,74
Senegal,98
Serbia,1
Serbia-Montenegro,27
Seychelles,0
Singapore,0
Slovak Republic,14
Solomon Islands,2
Somalia,2254
South Africa,12
South Korea,24
South Sudan,68
Spain,244
Sri Lanka,2326
St. Martin,12
Sudan,1909
Swaziland,0
Sweden,4
Switzerland,27
Syria,1026
Taiwan,2
Tajikistan,17
Tanzania,31
Thailand,1591
Togo,2
Trinidad and Tobago,0
Tunisia,43
Turkey,565
Uganda,781
Ukraine,11
United Arab Emirates,19
United Kingdom,1
United States,4105
Uruguay,0
Uzbekistan,58
Vatican City,0
Venezuela,2
Vietnam,0
West Bank and Gaza Strip,234
Yemen,1991
Yugoslavia,1
Zambia,0
Zimbabwe,10